PENGHASIL DATA,IKU PEMERINTAH DAERAH,NAMA DATA,PERIODE DATA,JADWAL RILIS,SATUAN,KLASIFIKASI
Setda - Biro Administrasi Pimpinan,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Administrasi Pimpinan,Nilai Indeks Unsur produk spesifikasi jenis layanan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Administrasi Pimpinan,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Administrasi Pimpinan,Nilai Indeks Unsur Prosedur dan Mekanisme Pelayanan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Administrasi Pimpinan,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Administrasi Pimpinan,Nilai Indeks Unsur sarana prasarana,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Administrasi Pimpinan,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Administrasi Pimpinan,Nilai Indeks Unsur Tarif atau biaya pelayanan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Administrasi Pimpinan,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Administrasi Pimpinan,Nilai Indeks Unsur waktu pelayanan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Barjas,Jumlah produk ramah lingkungan yang teregister dan masuk dalam pengadaan barang dan jasa pemerintah**,*,***,***,produk,***
"Setda - Biro BUMD, Investasi dan Administrasi Pembangunan","Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro BUMD, Investasi, dan Administrasi Pembangunan",*,Tahunan,Januari n + 1,poin,Provinsi
"Setda - Biro BUMD, Investasi dan Administrasi Pembangunan","Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro BUMD, Investasi, dan Administrasi Pembangunan",Nilai Indeks Unsur kompetensi pelaksana,Tahunan,Januari n + 1,poin,Provinsi
"Setda - Biro BUMD, Investasi dan Administrasi Pembangunan","Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro BUMD, Investasi, dan Administrasi Pembangunan",Nilai Indeks Unsur penanganan pengaduan,Tahunan,Januari n + 1,poin,Provinsi
"Setda - Biro BUMD, Investasi dan Administrasi Pembangunan","Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro BUMD, Investasi, dan Administrasi Pembangunan",Nilai Indeks Unsur perilaku pelaksana,Tahunan,Januari n + 1,poin,Provinsi
"Setda - Biro BUMD, Investasi dan Administrasi Pembangunan","Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro BUMD, Investasi, dan Administrasi Pembangunan",Nilai Indeks Unsur Persyaratan,Tahunan,Januari n + 1,poin,Provinsi
"Setda - Biro BUMD, Investasi dan Administrasi Pembangunan","Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro BUMD, Investasi, dan Administrasi Pembangunan",Nilai Indeks Unsur produk spesifikasi jenis layanan,Tahunan,Januari n + 1,poin,Provinsi
"Setda - Biro BUMD, Investasi dan Administrasi Pembangunan","Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro BUMD, Investasi, dan Administrasi Pembangunan",Nilai Indeks Unsur Prosedur dan Mekanisme Pelayanan,Tahunan,Januari n + 1,poin,Provinsi
"Setda - Biro BUMD, Investasi dan Administrasi Pembangunan","Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro BUMD, Investasi, dan Administrasi Pembangunan",Nilai Indeks Unsur sarana prasarana,Tahunan,Januari n + 1,poin,Provinsi
"Setda - Biro BUMD, Investasi dan Administrasi Pembangunan","Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro BUMD, Investasi, dan Administrasi Pembangunan",Nilai Indeks Unsur Tarif atau biaya pelayanan,Tahunan,Januari n + 1,poin,Provinsi
"Setda - Biro BUMD, Investasi dan Administrasi Pembangunan","Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro BUMD, Investasi, dan Administrasi Pembangunan",Nilai Indeks Unsur waktu pelayanan,Tahunan,Januari n + 1,poin,Provinsi
"Setda - Biro BUMD, Investasi dan Administrasi Pembangunan",Keselarasan kebijakan bidang administrasi pembangunan,*,Tahunan,Januari n + 1,persen,Provinsi
"Setda - Biro BUMD, Investasi dan Administrasi Pembangunan",Keselarasan kebijakan bidang administrasi pembangunan,Jumlah ketentuan yang diimplementasikan sesuai amanat,Tahunan,Januari n + 1,ketentuan,Provinsi
"Setda - Biro BUMD, Investasi dan Administrasi Pembangunan",Keselarasan kebijakan bidang administrasi pembangunan,Jumlah seluruh ketentuan yang ada pada kebijakan bidang administrasi Pembangunan,Tahunan,Januari n + 1,ketentuan,Provinsi
"Setda - Biro BUMD, Investasi dan Administrasi Pembangunan","Nilai Kualitas Kebijakan Bidang BUMD, Investasi, dan BLUD",*,Tahunan,Januari n + 1,poin,Provinsi
"Setda - Biro BUMD, Investasi dan Administrasi Pembangunan","Nilai Kualitas Kebijakan Bidang BUMD, Investasi, dan BLUD",Nilai Evaluasi Kemanfaatan Kebijakan,Tahunan,Januari n + 1,poin,Provinsi
"Setda - Biro BUMD, Investasi dan Administrasi Pembangunan","Nilai Kualitas Kebijakan Bidang BUMD, Investasi, dan BLUD",Nilai Perencanaan kebijakan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Hukum dan Hak Asasi Manusia,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Hukum dan HAM,*,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Hukum dan Hak Asasi Manusia,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Hukum dan HAM,Nilai Indeks Unsur kompetensi pelaksana,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Hukum dan Hak Asasi Manusia,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Hukum dan HAM,Nilai Indeks Unsur penanganan pengaduan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Hukum dan Hak Asasi Manusia,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Hukum dan HAM,Nilai Indeks Unsur perilaku pelaksana,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Hukum dan Hak Asasi Manusia,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Hukum dan HAM,Nilai Indeks Unsur Persyaratan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Hukum dan Hak Asasi Manusia,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Hukum dan HAM,Nilai Indeks Unsur produk spesifikasi jenis layanan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Hukum dan Hak Asasi Manusia,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Hukum dan HAM,Nilai Indeks Unsur Prosedur dan Mekanisme Pelayanan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Hukum dan Hak Asasi Manusia,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Hukum dan HAM,Nilai Indeks Unsur sarana prasarana,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Hukum dan Hak Asasi Manusia,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Hukum dan HAM,Nilai Indeks Unsur Tarif atau biaya pelayanan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Hukum dan Hak Asasi Manusia,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Hukum dan HAM,Nilai Indeks Unsur waktu pelayanan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Hukum dan Hak Asasi Manusia,Persentase produk hukum pemerintah daerah Provinsi Jawa Barat yang Harmonis,*,Tahunan,Januari n + 1,persen,Provinsi
Setda - Biro Hukum dan Hak Asasi Manusia,Persentase produk hukum pemerintah daerah Provinsi Jawa Barat yang Harmonis,Jumlah produk hukum yang harmonis,Tahunan,Januari n + 1,dokumen,Provinsi
Setda - Biro Hukum dan Hak Asasi Manusia,Persentase produk hukum pemerintah daerah Provinsi Jawa Barat yang Harmonis,Jumlah seluruh produk hukum,Tahunan,Januari n + 1,dokumen,Provinsi
Setda - Biro Kesejahteraan Rakyat,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Kesejahteraan Rakyat,*,Tahunan,Januari n + 1,indeks,Provinsi
Setda - Biro Kesejahteraan Rakyat,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Kesejahteraan Rakyat,Nilai Indeks Unsur kompetensi pelaksana,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Kesejahteraan Rakyat,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Kesejahteraan Rakyat,Nilai Indeks Unsur penanganan pengaduan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Kesejahteraan Rakyat,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Kesejahteraan Rakyat,Nilai Indeks Unsur perilaku pelaksana,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Kesejahteraan Rakyat,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Kesejahteraan Rakyat,Nilai Indeks Unsur Persyaratan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Kesejahteraan Rakyat,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Kesejahteraan Rakyat,Nilai Indeks Unsur produk spesifikasi jenis layanan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Kesejahteraan Rakyat,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Kesejahteraan Rakyat,Nilai Indeks Unsur Prosedur dan Mekanisme Pelayanan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Kesejahteraan Rakyat,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Kesejahteraan Rakyat,Nilai Indeks Unsur sarana prasarana,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Kesejahteraan Rakyat,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Kesejahteraan Rakyat,Nilai Indeks Unsur Tarif atau biaya pelayanan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Kesejahteraan Rakyat,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Kesejahteraan Rakyat,Nilai Indeks Unsur waktu pelayanan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Kesejahteraan Rakyat,Nilai Kualitas Kebijakan Bidang Kesejahteraan Rakyat,*,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Kesejahteraan Rakyat,Nilai Kualitas Kebijakan Bidang Kesejahteraan Rakyat,Nilai Evaluasi Kemanfaatan Kebijakan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Kesejahteraan Rakyat,Nilai Kualitas Kebijakan Bidang Kesejahteraan Rakyat,Nilai Perencanaan kebijakan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Organisasi,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Organisasi,*,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Organisasi,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Organisasi,Nilai Indeks Unsur kompetensi pelaksana,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Organisasi,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Organisasi,Nilai Indeks Unsur penanganan pengaduan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Organisasi,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Organisasi,Nilai Indeks Unsur perilaku pelaksana,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Organisasi,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Organisasi,Nilai Indeks Unsur Persyaratan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Organisasi,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Organisasi,Nilai Indeks Unsur produk spesifikasi jenis layanan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Organisasi,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Organisasi,Nilai Indeks Unsur Prosedur dan Mekanisme Pelayanan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Organisasi,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Organisasi,Nilai Indeks Unsur sarana prasarana,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Organisasi,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Organisasi,Nilai Indeks Unsur Tarif atau biaya pelayanan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Organisasi,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Organisasi,Nilai Indeks Unsur waktu pelayanan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Organisasi,Jumlah instansi pemerintah dengan tingkat kepatuhan pelayanan publik kategori baik.**,*,Tahunan,Januari n + 1,persen,Provinsi
Setda - Biro Organisasi,Peringkat komposit kelembagaan dimesi struktur,*,Tahunan,Desember,peringkat,Provinsi
Setda - Biro Organisasi,Peringkat komposit kelembagaan dimesi struktur,Nilai Dimensi Formalisasi,Tahunan,Desember,poin,Provinsi
Setda - Biro Organisasi,Peringkat komposit kelembagaan dimesi struktur,Nilai Dimensi Kompleksitas,Tahunan,Desember,poin,Provinsi
Setda - Biro Organisasi,Peringkat komposit kelembagaan dimesi struktur,Nilai Dimensi Sentralisasi,Tahunan,Desember,poin,Provinsi
Setda - Biro Organisasi,Persentase Perangkat Daerah dan/atau unit pelaksana teknis daerah yang terhubung dengan akses internet dan Jaringan Intra Pemerintah Daerah yang disediakan oleh Diskominfo,Jumlah Perangkat Daerah dan/atau Jumlah unit pelaksana teknis daerah,Tahunan,Desember n,perangkat daerah,Provinsi
Setda - Biro Organisasi,Persentase perangkat daerah dengan Indeks Reformasi Setda - Birokrasi Perangkat Daerah minimal kategori 'B',*,Tahunan,Desember n+1,persen,Provinsi
Setda - Biro Organisasi,Persentase perangkat daerah dengan Indeks Reformasi Setda - Birokrasi Perangkat Daerah minimal kategori 'B',Jumlah Perangkat Daerah,Tahunan,Desember n+1,perangkat daerah,Perangkat Daerah
Setda - Biro Organisasi,Persentase perangkat daerah dengan Indeks Reformasi Setda - Birokrasi Perangkat Daerah minimal kategori 'B',Jumlah Perangkat Daerah dengan Indeks Reformasi Setda - Birokrasi Perangkat Daerah minimal kategori 'B',Tahunan,Desember n+1,perangkat daerah,Perangkat Daerah
Setda - Biro Organisasi,Persentase Perangkat Daerah dengan nilai AKIP minimal A,*,Tahunan,September n + 1,persen,Provinsi
Setda - Biro Organisasi,Persentase Perangkat Daerah dengan nilai AKIP minimal A,Nilai indeks Evaluasi Akuntabilitas Kinerja Internal,Tahunan,September n + 1,poin,Provinsi
Setda - Biro Organisasi,Persentase Perangkat Daerah dengan nilai AKIP minimal A,Nilai indeks Pelaporan Kinerja,Tahunan,September n + 1,poin,Provinsi
Setda - Biro Organisasi,Persentase Perangkat Daerah dengan nilai AKIP minimal A,Nilai indeks Pengukuran Kinerja,Tahunan,September n + 1,poin,Provinsi
Setda - Biro Organisasi,Persentase Perangkat Daerah dengan nilai AKIP minimal A,Nilai indeks Perencanaan Kinerja,Tahunan,September n + 1,poin,Provinsi
Setda - Biro Organisasi,Persentase perangkat daerah dengan nilai budaya kerja minimal baik,*,Tahunan,Desember,persen,Provinsi
Setda - Biro Organisasi,Persentase perangkat daerah dengan nilai budaya kerja minimal baik,Nilai Indeks Adaptif,Tahunan,Desember,poin,Provinsi
Setda - Biro Organisasi,Persentase perangkat daerah dengan nilai budaya kerja minimal baik,Nilai Indeks Akuntabel,Tahunan,Desember,poin,Provinsi
Setda - Biro Organisasi,Persentase perangkat daerah dengan nilai budaya kerja minimal baik,Nilai Indeks Berorientasi Pelayanan,Tahunan,Desember,poin,Provinsi
Setda - Biro Organisasi,Persentase perangkat daerah dengan nilai budaya kerja minimal baik,Nilai Indeks Harmonis,Tahunan,Desember,poin,Provinsi
Setda - Biro Organisasi,Persentase perangkat daerah dengan nilai budaya kerja minimal baik,Nilai Indeks Kolaboratif,Tahunan,Desember,poin,Provinsi
Setda - Biro Organisasi,Persentase perangkat daerah dengan nilai budaya kerja minimal baik,Nilai Indeks Kompeten,Tahunan,Desember,poin,Provinsi
Setda - Biro Organisasi,Persentase perangkat daerah dengan nilai budaya kerja minimal baik,Nilai Indeks Loyal,Tahunan,Desember,poin,Provinsi
Setda - Biro Organisasi,Persentase Perangkat Daerah yang memanfaatkan Sistem Penghubung Layanan Pemerintah Daerah (SPLD),Jumlah keseluruhan Perangkat Daerah,Tahunan,Desember n,perangkat daerah,Provinsi
Setda - Biro Organisasi,Persentase perangkat daerah yang menerapkan kebijakan sistem kerja dinamis,*,Tahunan,Januari n + 1,persen,Provinsi
Setda - Biro Organisasi,Persentase perangkat daerah yang menerapkan kebijakan sistem kerja dinamis,Jumlah Pelaksana Mekanisme Kerja Dinamis,Tahunan,Januari n + 1,perangkat daerah,Perangkat Daerah
Setda - Biro Organisasi,Persentase perangkat daerah yang menerapkan kebijakan sistem kerja dinamis,Jumlah Perangkat Daerah,Tahunan,Januari n + 1,perangkat daerah,Perangkat Daerah
Setda - Biro Organisasi,Persentase perangkat daerah yang menerapkan kebijakan standar pelayanan publik,*,Tahunan,Januari n + 1,persen,Provinsi
Setda - Biro Organisasi,Persentase perangkat daerah yang menerapkan kebijakan standar pelayanan publik,Jumlah Perangkat Daerah,Tahunan,Januari n + 1,perangkat daerah,Perangkat Daerah
Setda - Biro Organisasi,Persentase perangkat daerah yang menerapkan kebijakan standar pelayanan publik,Jumlah Perangkat Daerah yang menerapkan Kebijakan Standar Pelayanan Publik,Tahunan,Januari n + 1,perangkat daerah,Perangkat Daerah
Setda - Biro Organisasi,Persentase Perangkat Daerah yang menggunakan Data Statistik dalam melakukan Evaluasi Pembangunan Daerah **,Jumlah keseluruhan Perangkat Daerah,Tahunan,Desember n,perangkat daerah,Provinsi
Setda - Biro Organisasi,Persentase Perangkat Daerah yang menggunakan Data Statistik dalam menyusun Perencanaan Pembangunan Daerah,Jumlah keseluruhan Perangkat Daerah,Tahunan,Desember n,perangkat daerah,Provinsi
Setda - Biro Pemerintahan dan Otonomi Daerah,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Pemerintahan dan Otonomi Daerah,*,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Pemerintahan dan Otonomi Daerah,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Pemerintahan dan Otonomi Daerah,Nilai Indeks Unsur kompetensi pelaksana,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Pemerintahan dan Otonomi Daerah,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Pemerintahan dan Otonomi Daerah,Nilai Indeks Unsur penanganan pengaduan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Pemerintahan dan Otonomi Daerah,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Pemerintahan dan Otonomi Daerah,Nilai Indeks Unsur perilaku pelaksana,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Pemerintahan dan Otonomi Daerah,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Pemerintahan dan Otonomi Daerah,Nilai Indeks Unsur Persyaratan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Pemerintahan dan Otonomi Daerah,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Pemerintahan dan Otonomi Daerah,Nilai Indeks Unsur produk spesifikasi jenis layanan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Pemerintahan dan Otonomi Daerah,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Pemerintahan dan Otonomi Daerah,Nilai Indeks Unsur Prosedur dan Mekanisme Pelayanan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Pemerintahan dan Otonomi Daerah,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Pemerintahan dan Otonomi Daerah,Nilai Indeks Unsur sarana prasarana,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Pemerintahan dan Otonomi Daerah,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Pemerintahan dan Otonomi Daerah,Nilai Indeks Unsur Tarif atau biaya pelayanan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Pemerintahan dan Otonomi Daerah,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Pemerintahan dan Otonomi Daerah,Nilai Indeks Unsur waktu pelayanan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Pemerintahan dan Otonomi Daerah,Nilai Evaluasi Kemanfaatan Kebijakan Setda - Biro Pemerintahan dan Otonomi Daerah,evaluasi kebijakan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Pemerintahan dan Otonomi Daerah,Nilai Evaluasi Kemanfaatan Kebijakan Setda - Biro Pemerintahan dan Otonomi Daerah,implementasi kebijakan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Pemerintahan dan Otonomi Daerah,Nilai Kualitas Kebijakan Bidang Pemerintahan dan Otonomi Daerah,*,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Pemerintahan dan Otonomi Daerah,Nilai Kualitas Kebijakan Bidang Pemerintahan dan Otonomi Daerah,Nilai Evaluasi Kemanfaatan Kebijakan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Pemerintahan dan Otonomi Daerah,Nilai Kualitas Kebijakan Bidang Pemerintahan dan Otonomi Daerah,Nilai Perencanaan kebijakan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Pemerintahan dan Otonomi Daerah,Nilai Perencanaan kebijakan Setda - Biro Pemerintahan dan Otonomi Daerah,agenda setting,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Pemerintahan dan Otonomi Daerah,Nilai Perencanaan kebijakan Setda - Biro Pemerintahan dan Otonomi Daerah,Formulasi Kebijakan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Pengadaan Barang dan Jasa,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Pengadaan Barang dan Jasa,*,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Pengadaan Barang dan Jasa,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Pengadaan Barang dan Jasa,Nilai Indeks Unsur kompetensi pelaksana,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Pengadaan Barang dan Jasa,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Pengadaan Barang dan Jasa,Nilai Indeks Unsur penanganan pengaduan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Pengadaan Barang dan Jasa,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Pengadaan Barang dan Jasa,Nilai Indeks Unsur perilaku pelaksana,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Pengadaan Barang dan Jasa,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Pengadaan Barang dan Jasa,Nilai Indeks Unsur Persyaratan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Pengadaan Barang dan Jasa,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Pengadaan Barang dan Jasa,Nilai Indeks Unsur produk spesifikasi jenis layanan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Pengadaan Barang dan Jasa,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Pengadaan Barang dan Jasa,Nilai Indeks Unsur Prosedur dan Mekanisme Pelayanan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Pengadaan Barang dan Jasa,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Pengadaan Barang dan Jasa,Nilai Indeks Unsur sarana prasarana,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Pengadaan Barang dan Jasa,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Pengadaan Barang dan Jasa,Nilai Indeks Unsur Tarif atau biaya pelayanan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Pengadaan Barang dan Jasa,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Pengadaan Barang dan Jasa,Nilai Indeks Unsur waktu pelayanan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Perekonomian,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Perekonomian,*,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Perekonomian,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Perekonomian,Nilai Indeks Unsur kompetensi pelaksana,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Perekonomian,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Perekonomian,Nilai Indeks Unsur penanganan pengaduan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Perekonomian,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Perekonomian,Nilai Indeks Unsur perilaku pelaksana,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Perekonomian,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Perekonomian,Nilai Indeks Unsur Persyaratan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Perekonomian,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Perekonomian,Nilai Indeks Unsur produk spesifikasi jenis layanan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Perekonomian,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Perekonomian,Nilai Indeks Unsur Prosedur dan Mekanisme Pelayanan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Perekonomian,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Perekonomian,Nilai Indeks Unsur sarana prasarana,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Perekonomian,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Perekonomian,Nilai Indeks Unsur Tarif atau biaya pelayanan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Perekonomian,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Perekonomian,Nilai Indeks Unsur waktu pelayanan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Perekonomian,Nilai Evaluasi Kemanfaatan Kebijakan Setda - Biro perekonomian,evaluasi kebijakan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Perekonomian,Nilai Evaluasi Kemanfaatan Kebijakan Setda - Biro perekonomian,implementasi kebijakan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Perekonomian,Nilai Kualitas Kebijakan Bidang Perekonomian,*,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Perekonomian,Nilai Kualitas Kebijakan Bidang Perekonomian,Nilai Evaluasi Kemanfaatan Kebijakan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Perekonomian,Nilai Kualitas Kebijakan Bidang Perekonomian,Nilai Perencanaan kebijakan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Perekonomian,Nilai Perencanaan kebijakan Setda - Biro perekonomian,agenda setting,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Perekonomian,Nilai Perencanaan kebijakan Setda - Biro perekonomian,Formulasi Kebijakan,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Umum,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Umum,*,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Umum,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Umum,Nilai Indeks Unsur kompetensi pelaksana,Tahunan,Januari n + 1,poin,Provinsi
Setda - Biro Umum,Indeks Kepuasan Stakeholder terhadap Layanan Setda - Biro Umum,Nilai Indeks Unsur penanganan pengaduan,Tahunan,Januari n + 1,poin,Provinsi
